Name,NAV,Dollar Change,Percent Change,1 year,3 year,5 year,10 year,Risk_Profile,Annulized return
ClearPath 2010Sr. B (ISC 710),14.0677,-0.001,0.01,5.21,3.36,3.81,4.61,Low,4.18
ClearPath 2015Sr. B (ISC 715),14.7694,-0.0109,0.07,5.11,3.91,4.31,5.36,Low,4.74
ClearPath 2020Sr. B (ISC 702),15.7168,-0.0236,0.15,5.09,4.34,4.83,5.98,Low,5.15
ClearPath 2025Sr. B (ISC 725),16.701,-0.0366,0.22,5.04,4.76,5.23,6.73,Low,5.67
ClearPath 2030Sr. B (ISC 730),17.1904,-0.048,0.28,4.69,5.04,5.44,7.02,Low,5.81
ClearPath 2035Sr. B (ISC 735),18.1417,-0.0648,0.36,4.18,5.82,6.04,7.73,Low,6.26
ClearPath 2040Sr. B (ISC 740),18.4236,-0.0826,0.45,3.71,6.01,6.16,7.91,Low,6.38
ClearPath 2045Sr. B (ISC 745),18.7458,-0.084,0.45,3.71,6.01,6.14,8.02,Low,6.44
ClearPath 2050Sr. B (ISC 2543),12.4215,-0.0558,0.45,3.69,5.98,6.14,0,Low,6.08
ClearPath 2055Sr. B (ISC 2549),12.4589,-0.0559,0.45,3.66,5.96,6.08,0,Low,6.02
ClearPath 2060Sr. B (ISC 6248),10.0462,-0.045,0.45,3.73,0,0,0,Low,3.02
ClearPath IncomeSr. B (ISC 777),13.2797,0.002,0.02,4.31,2.26,2.95,4.14,Low,3.96
